PASKIRTIS,TEISĖ,GYVENVIETĖ,ADRESAS,OBJEKTAS,ĮMKODAS,PAVADINIMAS
Kita,Nuosavybės teisė,Vilniaus m.,Fabijoniškių g. 73A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Čiobiškio g. 8A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Gedvydžių g. 6A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Loretos Asanavičiūtės g. 27A  ,Boilerinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Administracinė,Nuosavybės teisė,Vilniaus m.,Vinco Kudirkos g. 14  ,Administracinis,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Garažų,Nuosavybės teisė,Vilniaus m.,Vinco Kudirkos g. 14  ,Garažas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Garažų,Nuosavybės teisė,Vilniaus m.,Vinco Kudirkos g. 14  ,Garažas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Garažų,Nuosavybės teisė,Vilniaus m.,Vinco Kudirkos g. 14  ,Garažas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Vinco Kudirkos g. 14  ,Transformatorinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Sandėliavimo,Nuosavybės teisė,Vilniaus m.,Metalo g. 8  ,Sandėlis,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Administracinė,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Administracinis,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
"Gamybos, pramonės",Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Dirbtuvės,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Administracinė,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Administracinis pastatas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Katilinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Katilinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
"Gamybos, pramonės",Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Gamybinis pastatas,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Paslaugų,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Buitinės patalpos,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kita,Nuosavybės teisė,Vilniaus m.,Ateities g. 12  ,Katilinė,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kultūros,Nuosavybės teisė,Vilniaus m.,Rinktinės g. 2  ,Muziejus,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
Kultūros,Nuosavybės teisė,Vilniaus m.,Rinktinės g. 2  ,Muziejus,124135580,"Akcinė bendrovė ""VILNIAUS ŠILUMOS TINKLAI"""
